Z_i,A total  [Msun^{-1}],A MRR  [Msun^{-1}],A nonMRR  [Msun^{-1}],A MRR_spin  [Msun^{-1}],A nonMRR_spin  [Msun^{-1}],B total  [Msun^{-1}],B MRR  [Msun^{-1}],B nonMRR  [Msun^{-1}],B MRR_spin  [Msun^{-1}],B nonMRR_spin  [Msun^{-1}],C total  [Msun^{-1}],C MRR  [Msun^{-1}],C nonMRR  [Msun^{-1}],C MRR_spin  [Msun^{-1}],C nonMRR_spin  [Msun^{-1}],D total  [Msun^{-1}],D MRR  [Msun^{-1}],D nonMRR  [Msun^{-1}],D MRR_spin  [Msun^{-1}],D nonMRR_spin  [Msun^{-1}],E total  [Msun^{-1}],E MRR  [Msun^{-1}],E nonMRR  [Msun^{-1}],E MRR_spin  [Msun^{-1}],E nonMRR_spin  [Msun^{-1}],F total  [Msun^{-1}],F MRR  [Msun^{-1}],F nonMRR  [Msun^{-1}],F MRR_spin  [Msun^{-1}],F nonMRR_spin  [Msun^{-1}],G total  [Msun^{-1}],G MRR  [Msun^{-1}],G nonMRR  [Msun^{-1}],G MRR_spin  [Msun^{-1}],G nonMRR_spin  [Msun^{-1}],H total  [Msun^{-1}],H MRR  [Msun^{-1}],H nonMRR  [Msun^{-1}],H MRR_spin  [Msun^{-1}],H nonMRR_spin  [Msun^{-1}],I total  [Msun^{-1}],I MRR  [Msun^{-1}],I nonMRR  [Msun^{-1}],I MRR_spin  [Msun^{-1}],I nonMRR_spin  [Msun^{-1}],J total  [Msun^{-1}],J MRR  [Msun^{-1}],J nonMRR  [Msun^{-1}],J MRR_spin  [Msun^{-1}],J nonMRR_spin  [Msun^{-1}],K total  [Msun^{-1}],K MRR  [Msun^{-1}],K nonMRR  [Msun^{-1}],K MRR_spin  [Msun^{-1}],K nonMRR_spin  [Msun^{-1}],L total  [Msun^{-1}],L MRR  [Msun^{-1}],L nonMRR  [Msun^{-1}],L MRR_spin  [Msun^{-1}],L nonMRR_spin  [Msun^{-1}],M total  [Msun^{-1}],M MRR  [Msun^{-1}],M nonMRR  [Msun^{-1}],M MRR_spin  [Msun^{-1}],M nonMRR_spin  [Msun^{-1}],N total  [Msun^{-1}],N MRR  [Msun^{-1}],N nonMRR  [Msun^{-1}],N MRR_spin  [Msun^{-1}],N nonMRR_spin  [Msun^{-1}],O total  [Msun^{-1}],O MRR  [Msun^{-1}],O nonMRR  [Msun^{-1}],O MRR_spin  [Msun^{-1}],O nonMRR_spin  [Msun^{-1}],P total  [Msun^{-1}],P MRR  [Msun^{-1}],P nonMRR  [Msun^{-1}],P MRR_spin  [Msun^{-1}],P nonMRR_spin  [Msun^{-1}],Q total  [Msun^{-1}],Q MRR  [Msun^{-1}],Q nonMRR  [Msun^{-1}],Q MRR_spin  [Msun^{-1}],Q nonMRR_spin  [Msun^{-1}],R total  [Msun^{-1}],R MRR  [Msun^{-1}],R nonMRR  [Msun^{-1}],R MRR_spin  [Msun^{-1}],R nonMRR_spin  [Msun^{-1}],S total  [Msun^{-1}],S MRR  [Msun^{-1}],S nonMRR  [Msun^{-1}],S MRR_spin  [Msun^{-1}],S nonMRR_spin  [Msun^{-1}],T total  [Msun^{-1}],T MRR  [Msun^{-1}],T nonMRR  [Msun^{-1}],T MRR_spin  [Msun^{-1}],T nonMRR_spin  [Msun^{-1}]
0_0001,4.534205386372161e-05,2.459882814516639e-05,2.0743225718555217e-05,8.953832640169195e-06,1.6239482809475076e-05,4.9746431321678034e-05,1.4075962190656056e-05,3.567046913102198e-05,9.42640174688694e-06,2.9624166074695496e-05,4.2145974443531417e-05,1.688095264285415e-05,2.526502180067728e-05,1.0432664421910271e-05,1.9440423739075228e-05,4.2194692839496505e-05,2.303914094273714e-05,1.9155551896759368e-05,9.487437382600186e-06,1.3001104526960956e-05,4.45343037771391e-05,2.423213034332933e-05,2.0302173433809767e-05,8.73436306306542e-06,1.5838088118757106e-05,4.8299292586777824e-05,2.759896960106607e-05,2.0700322985711745e-05,1.210602813767464e-05,1.5840950963311966e-05,2.501545566031269e-05,1.828061922418729e-05,6.7348364361254014e-06,4.716595364591951e-06,5.385585207552088e-06,3.7477584965265694e-05,2.2313669703791065e-05,1.5163915261474632e-05,7.804900981674645e-06,1.0390755783945932e-05,5.7243805467920254e-05,2.801923669740493e-05,2.9224568770515315e-05,1.1498692537139737e-05,2.003855900798948e-05,4.239324975460407e-05,2.505354049046224e-05,1.7339709264141825e-05,7.243074037286547e-06,4.369937997655145e-06,4.933474700423989e-05,2.8296264174217347e-05,2.103848283002256e-05,1.2460894912549783e-05,1.6473982336880608e-05,4.520513561912854e-05,2.5107491930253848e-05,2.009764368887468e-05,9.5006499716124e-06,1.5796058300012068e-05,4.614809307927361e-05,2.4759829685585515e-05,2.138826339368809e-05,9.15430785823605e-06,1.6490914860326736e-05,4.486090474902303e-05,2.4543489986633355e-05,2.0317414762389675e-05,8.919792132760309e-06,1.5937622601751435e-05,5.116688792935088e-05,3.0874266701898314e-05,2.0292621227452565e-05,9.55579271363552e-06,1.648465758727343e-05,4.774454382880083e-05,2.595688948447348e-05,2.1787654344327352e-05,1.0424243433522344e-05,1.752344094992731e-05,4.915036976666783e-05,2.6904339931818864e-05,2.224602983484897e-05,1.15629901334264e-05,1.7910682484339194e-05,4.815710025214676e-05,2.7661757724397585e-05,2.049534252774918e-05,1.2140720406894032e-05,1.654617991161548e-05,4.542654993272304e-05,2.4491321245448547e-05,2.093522868727449e-05,8.825690997334258e-06,1.6454551891360623e-05,4.792716211250896e-05,2.588723044518026e-05,2.2039931667328708e-05,9.596290308598818e-06,1.706039902848527e-05
0_00011,4.647809098289479e-05,2.384223871869424e-05,2.263585226420056e-05,8.268796193316199e-06,1.7904489969379102e-05,4.977365854082882e-05,1.361473139486582e-05,3.6158927145963e-05,8.741120588013587e-06,3.001547122157521e-05,4.257947638504335e-05,1.6601356172575082e-05,2.5978120212468263e-05,9.983324153662258e-06,2.0294747107692595e-05,4.261882774429877e-05,2.259690345839604e-05,2.0021924285902745e-05,8.967135080692456e-06,1.4282815810598415e-05,4.620358499203745e-05,2.3827884432081856e-05,2.237570055995559e-05,8.277058528455827e-06,1.7681042100021967e-05,5.075030294728298e-05,2.7975118304516688e-05,2.277518464276628e-05,1.242896452819525e-05,1.768431296623133e-05,2.4177932697071563e-05,1.7836631507262285e-05,6.341301189809288e-06,4.307480120442987e-06,5.140914759737212e-06,3.822252144032989e-05,2.1674120578994685e-05,1.6548400861335206e-05,7.324268198011311e-06,1.1895691138200809e-05,5.721489258750417e-05,2.7116668149310587e-05,3.009822443819359e-05,1.0498473352543906e-05,2.0150252059646645e-05,3.9474151375808585e-05,2.36342889698101e-05,1.583986240599849e-05,6.688450637842887e-06,3.6418264538108457e-06,5.118856069506872e-05,2.823852373528952e-05,2.295003695977919e-05,1.2475578134829144e-05,1.8153710589995432e-05,4.681963529130573e-05,2.467847700816429e-05,2.2141158283141423e-05,9.308812129587836e-06,1.751065025521101e-05,4.780853199226861e-05,2.428227679034456e-05,2.3526255201924048e-05,8.653617157386294e-06,1.838826216595984e-05,4.58458306030963e-05,2.381913315508962e-05,2.2026697448006675e-05,8.247751194653948e-06,1.7497439528798793e-05,5.20661521160509e-05,2.9758995278587084e-05,2.230715683746381e-05,8.873265167058852e-06,1.8207206041822544e-05,4.934975997693891e-05,2.557662326022839e-05,2.377313671671052e-05,9.9956841526213e-06,1.934372509326349e-05,5.111729754236175e-05,2.677668314076669e-05,2.434061440159505e-05,1.1317684722049636e-05,1.976049619592144e-05,5.040726205524401e-05,2.791794284171857e-05,2.248931921352543e-05,1.2241205375342287e-05,1.830237262505575e-05,4.646102767944008e-05,2.376521554241948e-05,2.269581213702061e-05,8.315409621032336e-06,1.8087841657586377e-05,4.89797226653106e-05,2.4996624990261183e-05,2.3983097675049422e-05,8.898995894244558e-06,1.879688026784125e-05
0_00012,4.711120145614418e-05,2.3410707783529893e-05,2.370049367261428e-05,7.996811494082336e-06,1.911202381139471e-05,5.0091500175486266e-05,1.3238513320758317e-05,3.6852986854727946e-05,8.259523850020159e-06,3.075755560431778e-05,4.274035176731653e-05,1.606994580484831e-05,2.6670405962468225e-05,9.38786369059648e-06,2.1049887645026087e-05,4.238743398820824e-05,2.1821355608535643e-05,2.0566078379672587e-05,8.341579263792998e-06,1.5268343959050525e-05,4.6572113529694415e-05,2.3373684273482736e-05,2.319842925621168e-05,7.942268537933477e-06,1.873816825179369e-05,5.152249636533463e-05,2.792563194638604e-05,2.3596864418948587e-05,1.249381665892554e-05,1.874045498872288e-05,2.3011012020699137e-05,1.763387841103414e-05,5.377133609664998e-06,4.059686264628541e-06,4.358093804372809e-06,3.840771788355812e-05,2.1210631143351573e-05,1.719708674020656e-05,6.906258249618582e-06,1.2865067509912457e-05,5.6519969050667366e-05,2.583630517958609e-05,3.068366387108126e-05,9.382278048072436e-06,2.0266330430602112e-05,3.717036512802505e-05,2.247954887736348e-05,1.4690816250661576e-05,6.038186527190528e-06,3.3188565574877952e-06,5.23425139279776e-05,2.830834096719657e-05,2.4034172960781023e-05,1.2701933086100672e-05,1.9378298217479035e-05,4.742675245168782e-05,2.437034631192773e-05,2.3056406139760075e-05,9.105538982955952e-06,1.865345116332239e-05,4.83540177764276e-05,2.384796501681481e-05,2.450605275961281e-05,8.245927368265814e-06,1.9540143849485928e-05,4.661823353708206e-05,2.340401250137093e-05,2.3214221035711125e-05,7.959981158326673e-06,1.8729491230874266e-05,5.209598782079485e-05,2.871737607885434e-05,2.3378611741940502e-05,8.50221690021119e-06,1.9327397623730823e-05,5.045754733228203e-05,2.5120189034038965e-05,2.533735829824307e-05,9.619123272533127e-06,2.086513995034132e-05,5.150550773800372e-05,2.6218941536899355e-05,2.528656620110437e-05,1.103420779718054e-05,2.084711199499619e-05,5.138399298352873e-05,2.7476851851285155e-05,2.3907141132243574e-05,1.1986836070861454e-05,1.9778254248829007e-05,4.727530579482141e-05,2.3515993237871413e-05,2.3759312556950005e-05,7.99734961567623e-06,1.928432955649868e-05,4.96408134386178e-05,2.452626824990156e-05,2.5114545188716245e-05,8.57873149554157e-06,2.0081514297390065e-05
0_00014,4.749224595421542e-05,2.2869591951446696e-05,2.462265400276873e-05,7.493355483517732e-06,2.0056562271491613e-05,5.014579597353945e-05,1.3092759508565728e-05,3.705303646497372e-05,7.935394849734004e-06,3.1207521690064684e-05,4.343628850053014e-05,1.6213398988625696e-05,2.7222889511904453e-05,8.883344161611915e-06,2.1751992474107328e-05,4.23574815728056e-05,2.1530975625617945e-05,2.082650594718766e-05,7.973828042797412e-06,1.5860757471988173e-05,4.6796478329030665e-05,2.2670140790224925e-05,2.4126337538805743e-05,7.345408414266394e-06,1.963416414630611e-05,5.245865934932853e-05,2.7932278903078824e-05,2.452638044624972e-05,1.257631870225113e-05,1.9633554415860823e-05,2.145595974450881e-05,1.6891510328398797e-05,4.564449416110025e-06,3.6840137445035777e-06,3.578314057585496e-06,3.7517053060386495e-05,2.0592826325133487e-05,1.6924226735252988e-05,6.437238394904334e-06,1.3127306903599778e-05,5.551200971286837e-05,2.477933301373784e-05,3.0732676699130545e-05,8.590292807171746e-06,2.0231141319957984e-05,3.507716549325387e-05,2.12928502453404e-05,1.378431524791347e-05,5.4496407198189024e-06,2.80614345103685e-06,5.3337221590543015e-05,2.8362147143601493e-05,2.497507444694152e-05,1.2752939539156328e-05,2.0333194394304886e-05,4.817622960058413e-05,2.417857076192858e-05,2.3997658838655548e-05,8.777170853414301e-06,1.953525601453463e-05,4.904070545971742e-05,2.320378718928141e-05,2.583691827043599e-05,7.722113731157768e-06,2.068934118188687e-05,4.67332937412899e-05,2.2782464402395835e-05,2.395082933889405e-05,7.385930458760284e-06,1.958179767970228e-05,5.071966066508292e-05,2.636371307703865e-05,2.435594758804425e-05,7.876466719677422e-06,2.0127087431349774e-05,5.130762152126761e-05,2.479099530951336e-05,2.6516626211754243e-05,9.229762229212129e-06,2.1967591579197248e-05,5.366845044433293e-05,2.6535107393719727e-05,2.713334305061321e-05,1.0907453958611611e-05,2.2457717671991342e-05,5.258715737554128e-05,2.762668415806715e-05,2.496047321747413e-05,1.1780712327000996e-05,2.0746034792207124e-05,4.760796478838718e-05,2.30111258114079e-05,2.459683897697928e-05,7.516697277695605e-06,2.010930011622437e-05,5.0441042231177126e-05,2.3635400249615877e-05,2.6805641981561256e-05,7.970183826062897e-06,2.1086224068842563e-05
0_00016,4.770476542421736e-05,2.2751088544736413e-05,2.495367687948096e-05,7.32537958934811e-06,2.0326753481946912e-05,4.969989834068964e-05,1.3100655087853232e-05,3.65992432528364e-05,7.976541014243107e-06,3.096266488771926e-05,4.327525644992365e-05,1.6257229136802086e-05,2.701802731312156e-05,8.992178260807951e-06,2.172093790915557e-05,4.170886671258956e-05,2.125290364909389e-05,2.0455963063495688e-05,7.869232061845336e-06,1.5662585587131276e-05,4.671843295310369e-05,2.2489274827838426e-05,2.422915812526528e-05,7.1958752475472135e-06,1.9588062419005087e-05,5.276769386491776e-05,2.814310087923831e-05,2.462459298567944e-05,1.2763664724118605e-05,1.9589125510978955e-05,2.0535371129166803e-05,1.6549862479057845e-05,3.985508650108965e-06,3.471351994064807e-06,3.084996127312734e-06,3.721955081352917e-05,2.027142692296617e-05,1.694812389056301e-05,6.260152180229997e-06,1.3235352806049987e-05,5.523493755322691e-05,2.4532342571786444e-05,3.0702594981440464e-05,8.063640418919312e-06,2.0242375580730786e-05,3.385009743445649e-05,2.053315493018737e-05,1.3316942504269116e-05,4.997135300339861e-06,2.605144218636845e-06,5.4155966881096304e-05,2.8855759384336284e-05,2.530020749676004e-05,1.3149495845188477e-05,2.060246409871078e-05,4.8592151607458885e-05,2.4218944708739823e-05,2.4373206898719062e-05,8.67584525955073e-06,1.985695392200202e-05,4.896988379431374e-05,2.3049464429296564e-05,2.592041936501717e-05,7.527630176358668e-06,2.0902218272590097e-05,4.685389672887904e-05,2.266821139602266e-05,2.418568533285638e-05,7.239582369376605e-06,1.9766000781277112e-05,5.007290127162017e-05,2.53665571564466e-05,2.470634411517357e-05,7.579051643284117e-06,2.017948199272221e-05,5.226550854912736e-05,2.504653973001739e-05,2.721896881910997e-05,9.27719729379178e-06,2.252809381985771e-05,5.505694794882784e-05,2.7350703081171063e-05,2.7706244867656776e-05,1.1265653249188964e-05,2.281486635386993e-05,5.389034293667873e-05,2.82006145820523e-05,2.568972835462644e-05,1.1966293801431272e-05,2.12221261668604e-05,4.740739447976965e-05,2.2792217044126247e-05,2.461517743564341e-05,7.383784142491954e-06,2.0128455291705864e-05,5.049482960566353e-05,2.315983420278176e-05,2.7334995402881773e-05,7.5611874356321635e-06,2.158075540810265e-05
0_00017,4.765715357716082e-05,2.2877506113738285e-05,2.4779647463422548e-05,7.444869931103267e-06,2.011417714497318e-05,5.006803521590591e-05,1.3232489624056246e-05,3.6835545591849655e-05,7.85321396504549e-06,3.126330563957371e-05,4.4135131385811095e-05,1.6834280639382987e-05,2.7300850746428115e-05,9.16625754347246e-06,2.1907142140481574e-05,4.18618596697799e-05,2.137441291035227e-05,2.048744675942764e-05,8.077190772070623e-06,1.5752878903242368e-05,4.6913013886470766e-05,2.2638495849569536e-05,2.427451803690124e-05,7.226741076916267e-06,1.959170783779672e-05,5.3274488849123045e-05,2.860326567352767e-05,2.46712231755954e-05,1.308420130558252e-05,1.9593134915583154e-05,2.030472956223672e-05,1.6439151187862698e-05,3.865578374374022e-06,3.3845524830426577e-06,2.9518892982985435e-06,3.7502417793089934e-05,2.054179270338948e-05,1.696062508970046e-05,6.39944025081785e-06,1.3269443762766308e-05,5.504446900960488e-05,2.444595001780691e-05,3.0598518991797984e-05,7.968543047901735e-06,2.021120485696816e-05,3.293909068454164e-05,2.0189162618471087e-05,1.2749928066070557e-05,4.765056040451305e-06,2.4599966525530866e-06,5.4619476446098686e-05,2.950064077155816e-05,2.511883567454052e-05,1.376249368313019e-05,2.039057551220094e-05,4.8691665576407273e-05,2.439429337274036e-05,2.429737220366692e-05,8.788151017724316e-06,1.9680362279720496e-05,4.903014772245227e-05,2.312272418174157e-05,2.5907423540710707e-05,7.519344991062952e-06,2.0607953823427635e-05,4.6770194292330266e-05,2.282033020462486e-05,2.394986408770539e-05,7.367039810575318e-06,1.9513744822054623e-05,4.9676878572675945e-05,2.495941023042725e-05,2.4717468342248715e-05,7.345826911997583e-06,2.013529670934333e-05,5.2693191601054784e-05,2.532905471578992e-05,2.736413688526488e-05,9.405010928714126e-06,2.2509833312932785e-05,5.536272518140877e-05,2.7512453280685746e-05,2.785027190072304e-05,1.1296830356619448e-05,2.2910876241865893e-05,5.403524998374078e-05,2.843213846803389e-05,2.5603111515706885e-05,1.213536108326902e-05,2.1137878864477987e-05,4.722198085658017e-05,2.265792695052724e-05,2.4564053906052928e-05,7.313022333621411e-06,2.0087460961126646e-05,4.982046084400411e-05,2.282812845397485e-05,2.699233239002926e-05,7.328901275397756e-06,2.1413926313674254e-05
0_00019,4.866667550179149e-05,2.3146613936795253e-05,2.552006156499624e-05,7.72234671558397e-06,2.067255301107588e-05,5.176244604340882e-05,1.3945165793873152e-05,3.781728024953567e-05,8.44781873478355e-06,3.2282536189952315e-05,4.562761997181925e-05,1.7612800240691475e-05,2.801481973112777e-05,9.809672079889873e-06,2.2466178495727308e-05,4.274283069509929e-05,2.1967202295711004e-05,2.077562839938828e-05,8.408349937049162e-06,1.5938220575199153e-05,4.7758909238522966e-05,2.287067016563444e-05,2.488823907288853e-05,7.516915178169613e-06,2.005622458629557e-05,5.436746608801805e-05,2.9065540321091506e-05,2.5301925766926552e-05,1.3554154567273104e-05,2.00921902856206e-05,1.991010250981727e-05,1.6154756029807377e-05,3.7553464800098966e-06,3.2348375625693497e-06,2.677424214791909e-06,3.761161908042231e-05,2.0527943754158493e-05,1.7083675326263802e-05,6.527243526879084e-06,1.347145045844126e-05,5.58413738864162e-05,2.470181106474328e-05,3.1139562821672915e-05,7.821004007575581e-06,2.007699543420941e-05,3.2715439579285265e-05,1.9953410020847e-05,1.2762029558438265e-05,4.580801801143879e-06,2.4897612502554144e-06,5.563265057090386e-05,2.9743943469934563e-05,2.588870710096929e-05,1.395397956353204e-05,2.0977833096310605e-05,4.987337626344054e-05,2.479455517157527e-05,2.507882109186526e-05,9.178515624609512e-06,2.024669929665186e-05,4.962394242626246e-05,2.325669291912469e-05,2.6367249507137777e-05,7.636445081721434e-06,2.103926295479592e-05,4.780682346365705e-05,2.304823835678404e-05,2.475858510687301e-05,7.617709548295976e-06,2.0081586400443306e-05,4.918940647869697e-05,2.465668972023237e-05,2.45327167584646e-05,7.361777350470549e-06,2.01112642044366e-05,5.4181832118813214e-05,2.581391302720607e-05,2.8367919091607134e-05,9.74269328760369e-06,2.323891870530217e-05,5.755830153753052e-05,2.846648376495758e-05,2.909181777257295e-05,1.2006311080953957e-05,2.382592456695865e-05,5.55521576311323e-05,2.897404459572796e-05,2.657811303540433e-05,1.2593014871041731e-05,2.17187565906884e-05,4.70283012849763e-05,2.251798958046631e-05,2.451031170451e-05,7.2452668727709186e-06,2.00671920736988e-05,4.943796884334283e-05,2.2641667986598773e-05,2.6796300856744064e-05,7.181813738950579e-06,2.1680469447972092e-05
0_00022,4.802886815685636e-05,2.269350817940972e-05,2.533535997744665e-05,7.381437202469352e-06,2.00849134748786e-05,5.231809538139565e-05,1.422845335887076e-05,3.8089642022524887e-05,8.60282956919906e-06,3.221980459663635e-05,4.685376408280092e-05,1.8391087547717835e-05,2.846267653508309e-05,1.027905379467669e-05,2.259793096092596e-05,4.332733363397089e-05,2.241971807814344e-05,2.090761555582745e-05,8.689294719169592e-06,1.5648615797089353e-05,4.716647049776615e-05,2.240648662573369e-05,2.4759983872032458e-05,7.24788032012241e-06,1.953744227352769e-05,5.432572107920601e-05,2.916354505139e-05,2.5162176027816005e-05,1.37702938682291e-05,1.953651717313472e-05,2.0474674671392776e-05,1.602335644604326e-05,4.4513182253495175e-06,3.186023176644904e-06,3.209017408299246e-06,3.843474812103264e-05,2.0668832813156405e-05,1.7765915307876242e-05,6.568298787780221e-06,1.3163190796172326e-05,5.5560401741408894e-05,2.439263826618509e-05,3.1167763475223805e-05,7.154859674899839e-06,2.0182201151490017e-05,3.201321104828404e-05,1.940756124134922e-05,1.2605649806934823e-05,4.284742848571877e-06,2.1945439918504104e-06,5.554683201475622e-05,2.9858289790230025e-05,2.56885422245262e-05,1.4098168161744544e-05,2.036222243753925e-05,4.96028538818124e-05,2.466945902549446e-05,2.493339485631792e-05,9.13038782254703e-06,1.9737913640249987e-05,4.950335478200017e-05,2.3095867675510927e-05,2.640748710648924e-05,7.564477084388142e-06,2.0683542662648207e-05,4.7304808099210445e-05,2.264945682817988e-05,2.4655351271030567e-05,7.341699020555174e-06,1.9493349919813897e-05,4.84028516657172e-05,2.413346932927429e-05,2.426938233644292e-05,6.957585235165801e-06,1.9646192618682538e-05,5.384652885249009e-05,2.558727912746735e-05,2.8259249725022743e-05,9.746868223164024e-06,2.2827176296736853e-05,5.746367099547557e-05,2.8286047914785952e-05,2.917762308068962e-05,1.190384895164449e-05,2.362598904445684e-05,5.589141041689422e-05,2.91351128825701e-05,2.675629753432413e-05,1.268542746460378e-05,2.1684417033449008e-05,4.7122652218982415e-05,2.2701998387642384e-05,2.442065383134003e-05,7.323148072894529e-06,1.980655215926376e-05,4.805692210206052e-05,2.1814001259612777e-05,2.624292084244774e-05,6.82416336176898e-06,2.103286163422365e-05
0_00024,4.89117377150568e-05,2.3068146398474056e-05,2.5843591316582728e-05,7.517718060026711e-06,2.028017645045521e-05,5.339034381816879e-05,1.445474773695751e-05,3.893559608121127e-05,8.541394158075463e-06,3.262747418686104e-05,4.791944238918592e-05,1.881569441003219e-05,2.9103747979153728e-05,1.057688626941217e-05,2.277455333951645e-05,4.431942086231659e-05,2.2963959707849e-05,2.1355461154467604e-05,8.85917665783279e-06,1.5819691187692712e-05,4.7728377371539766e-05,2.2621817011419407e-05,2.5106560360120376e-05,7.175989829269108e-06,1.966194790093645e-05,5.498704376564539e-05,2.9470376452272232e-05,2.551666731337315e-05,1.3738000507667314e-05,1.9672537211890045e-05,2.102371077890262e-05,1.605808411110962e-05,4.965626667792998e-06,3.153876569446759e-06,3.6964233660895057e-06,3.867526074654513e-05,2.08359714215386e-05,1.7839289325006515e-05,6.695357345835412e-06,1.3192211214578867e-05,5.610217010120086e-05,2.434968009115293e-05,3.1752490010047936e-05,6.995049910735698e-06,2.065170873743576e-05,3.158686786781858e-05,1.9094359104606928e-05,1.2492508763211644e-05,4.108954161848227e-06,2.242856169313994e-06,5.6614548579031136e-05,3.0424136741682124e-05,2.6190411837348995e-05,1.4371727611096913e-05,2.0557160253240585e-05,5.01946103777944e-05,2.4767995676110308e-05,2.542661470168409e-05,9.100598029497174e-06,1.99860554235685e-05,4.979362863256594e-05,2.310615430740452e-05,2.668747432516142e-05,7.487637514227428e-06,2.069646054960311e-05,4.795048449249625e-05,2.296559336530052e-05,2.4984891127195726e-05,7.383612617126718e-06,1.9523948613755644e-05,4.893422370975437e-05,2.4266914069999306e-05,2.4667309639755072e-05,6.891830453607145e-06,1.9817351904678696e-05,5.409204338004316e-05,2.5614368115766164e-05,2.847767526427698e-05,9.666070277383092e-06,2.285789818414562e-05,5.783552009080941e-05,2.8418669493357377e-05,2.9416850597452043e-05,1.201282105110334e-05,2.360272990350099e-05,5.618700414840751e-05,2.905808703000868e-05,2.712891711839883e-05,1.260653410251404e-05,2.1871148069971243e-05,4.80602860393663e-05,2.329503584798287e-05,2.4765250191383437e-05,7.548199016882735e-06,1.9868714433150847e-05,4.847389681948775e-05,2.1779296523756273e-05,2.669460029573148e-05,6.773202114007023e-06,2.1347970198401348e-05
0_00027,4.927070899495284e-05,2.320322808948154e-05,2.606748090547129e-05,7.419208399899113e-06,2.052422483048377e-05,5.429311938322967e-05,1.4618739216903884e-05,3.9674380166325774e-05,8.499847528158829e-06,3.299743226609138e-05,4.892183611196277e-05,1.9386273510742287e-05,2.953556260122048e-05,1.0627936817416808e-05,2.3109636292359458e-05,4.461433366684041e-05,2.31088151273361e-05,2.1505518539504312e-05,8.807632045116767e-06,1.5779174240785306e-05,4.822499624638582e-05,2.273632412511261e-05,2.548867212127321e-05,7.100694766105564e-06,1.99585076267636e-05,5.5858340666013885e-05,2.9970640037867543e-05,2.5887700628146345e-05,1.3969134714349472e-05,1.9965174298304552e-05,2.1916230763771144e-05,1.6324968848314345e-05,5.591261915456799e-06,3.160342329122124e-06,4.366338926259439e-06,3.912829423268798e-05,2.106976842351712e-05,1.8058525809170857e-05,6.822693569294522e-06,1.3103270170469616e-05,5.6486010114281335e-05,2.424380769067208e-05,3.224220242360926e-05,6.697710444130772e-06,2.109597209842924e-05,3.120395552428793e-05,1.8725714728586707e-05,1.247824079570122e-05,3.9398445144585975e-06,2.1931697930692056e-06,5.7542216203628126e-05,3.1124521921495906e-05,2.64176942821322e-05,1.4784843023716687e-05,2.0806985935723804e-05,5.046734503842238e-05,2.4969053312318367e-05,2.5498291726104017e-05,9.067529836020022e-06,2.0039798867437512e-05,5.0270451418029806e-05,2.323727034042717e-05,2.703318107760263e-05,7.366741875574789e-06,2.091268121953867e-05,4.825091713477466e-05,2.3024861342043763e-05,2.5226055792730897e-05,7.30496333588609e-06,1.979817002602637e-05,4.941087954653629e-05,2.4306250559089367e-05,2.510462898744693e-05,6.863445550214236e-06,2.0078452720145507e-05,5.454032081291308e-05,2.5702441611963573e-05,2.8837879200949507e-05,9.590012136676885e-06,2.319481484616196e-05,5.768494824097594e-05,2.8074380500303675e-05,2.961056774067229e-05,1.1716638917738156e-05,2.396208335983774e-05,5.669951042875613e-05,2.922234099822703e-05,2.747716943052909e-05,1.2725423015791642e-05,2.218059674309612e-05,4.868337309726382e-05,2.3518370347114345e-05,2.5165002750149487e-05,7.833437122144285e-06,2.020218185036079e-05,4.84819191336314e-05,2.1631825940551538e-05,2.685009319307987e-05,6.797688737084481e-06,2.147056296367778e-05
